id,code,p_code,level,name
497,210403,210400,3,东洲区
498,210404,210400,3,望花区
499,210411,210400,3,顺城区
500,210421,210400,3,抚顺县
501,210422,210400,3,新宾满族自治县
502,210423,210400,3,清原满族自治县
503,210500,210000,2,本溪市
504,210502,210500,3,平山区
505,210503,210500,3,溪湖区
506,210504,210500,3,明山区
507,210505,210500,3,南芬区
508,210521,210500,3,本溪满族自治县
509,210522,210500,3,桓仁满族自治县
510,210600,210000,2,丹东市
511,210602,210600,3,元宝区
512,210603,210600,3,振兴区
513,210604,210600,3,振安区
514,210624,210600,3,宽甸满族自治县
515,210681,210600,3,东港市
516,210682,210600,3,凤城市
517,210700,210000,2,锦州市
518,210702,210700,3,古塔区
519,210703,210700,3,凌河区
520,210711,210700,3,太和区
521,210726,210700,3,黑山县
522,210727,210700,3,义县
523,210781,210700,3,凌海市
524,210782,210700,3,北镇市
525,210800,210000,2,营口市
526,210802,210800,3,站前区
527,210803,210800,3,西市区
528,210804,210800,3,鲅鱼圈区
529,210811,210800,3,老边区
530,210881,210800,3,盖州市
531,210882,210800,3,大石桥市
532,210900,210000,2,阜新市
533,210902,210900,3,海州区
534,210903,210900,3,新邱区
535,210904,210900,3,太平区
536,210905,210900,3,清河门区
537,210911,210900,3,细河区
538,210921,210900,3,阜新蒙古族自治县
539,210922,210900,3,彰武县
540,211000,210000,2,辽阳市
541,211002,211000,3,白塔区
542,211003,211000,3,文圣区
543,211004,211000,3,宏伟区
544,211005,211000,3,弓长岭区
545,211011,211000,3,太子河区
546,211021,211000,3,辽阳县
547,211081,211000,3,灯塔市
548,211100,210000,2,盘锦市
549,211102,211100,3,双台子区
550,211103,211100,3,兴隆台区
551,211104,211100,3,大洼区
552,211122,211100,3,盘山县
553,211200,210000,2,铁岭市
554,211202,211200,3,银州区
555,211204,211200,3,清河区
556,211221,211200,3,铁岭县
557,211223,211200,3,西丰县
558,211224,211200,3,昌图县
559,211281,211200,3,调兵山市
560,211282,211200,3,开原市
561,211300,210000,2,朝阳市
562,211302,211300,3,双塔区
563,211303,211300,3,龙城区
564,211321,211300,3,朝阳县
565,211322,211300,3,建平县
566,211324,211300,3,喀喇沁左翼蒙古族自治县
567,211381,211300,3,北票市
568,211382,211300,3,凌源市
569,211400,210000,2,葫芦岛市
570,211402,211400,3,连山区
571,211403,211400,3,龙港区
572,211404,211400,3,南票区
573,211421,211400,3,绥中县
574,211422,211400,3,建昌县
575,211481,211400,3,兴城市
576,220000,NULL,1,吉林省
577,220100,220000,2,长春市
578,220102,220100,3,南关区
579,220103,220100,3,宽城区
580,220104,220100,3,朝阳区
581,220105,220100,3,二道区
582,220106,220100,3,绿园区
583,220112,220100,3,双阳区
584,220113,220100,3,九台区
585,220122,220100,3,农安县
586,220182,220100,3,榆树市
587,220183,220100,3,德惠市
588,220184,220100,3,公主岭市
589,220200,220000,2,吉林市
590,220202,220200,3,昌邑区
591,220203,220200,3,龙潭区
592,220204,220200,3,船营区
593,220211,220200,3,丰满区
